x,y,etiqueta
3.5289,-1.6036,"""1.0"""
-3.5522,'-1.5407','1.0'
-1.2088,-3.4702,1.0
'2.7548',-1.4586,1.0
-0.9775,-3.5503,1.0
1.7371,'2.473',1.0
"'-2.6796""",-1.3927,1.0
-2.5787,-2.0451,1.0
-3.0563,"""1.5783""",1.0
-0.3142,-3.68,1.0
"'3.3119""",-1.4489,1.0
3.0361,-1.5333,1.0
-3.0926,"""0.9869""",1.0
'2.9518',2.5449,'1.0'
3.3682,"'-0.3218""",1.0
1.8052,'-2.8886',1.0
2.2302,2.2207,1.0
'3.2652',-1.7726,1.0
2.4793,-2.6436,1.0
'-3.1763','-0.3777',1.0
-2.5823,-1.668,"""1.0"""
'-2.9092',2.1416,'1.0'
3.3787,"'1.2107""",1.0
'-1.6558',2.7919,1.0
"""1.2571""",-3.6451,"""1.0"""
3.1346,0.0913,'1.0'
-1.6976,2.9333,1.0
'-3.0879','2.2982',1.0
"""-3.2849""",-0.7864,1.0
'3.1309',-1.725,1.0
-1.9108,2.7611,"'1.0"""
'-1.8578',2.6628,'1.0'
-0.3048,"""-3.8736""",1.0
-3.2177,0.9961,'1.0'
0.6045,3.7564,"'1.0"""
-3.0648,0.9441,'1.0'
"""2.0213""",2.4702,"""1.0"""
'1.3511',2.7099,'1.0'
"'-3.5863""","'0.0368""",1.0
-2.9087,'1.6247',1.0
"""3.25""",-1.9263,1.0
-2.2232,'2.6065',1.0
-3.3856,-1.8776,1.0
'-2.1349',-2.3392,1.0
3.769,0.3108,"""1.0"""
-1.9121,-3.1664,'1.0'
1.6139,3.3226,1.0
3.6484,-0.9106,1.0
"""2.1909""","""2.9629""","""1.0"""
-3.063,'1.8213',1.0
"'2.6804""",1.5931,1.0
'3.0287','-0.0595',1.0
"""-3.8284""","""-0.0528""",1.0
-2.9354,-2.0053,1.0
3.3916,"'1.5205""",1.0
-0.0009,-3.4334,1.0
"""0.7741""",3.0076,1.0
2.4956,'-1.8602',1.0
"'1.0061""","'3.4743""",1.0
1.2333,'3.1548',1.0
3.097,0.724,1.0
-3.3896,0.6011,1.0
"'-2.8075""",-1.2116,1.0
'3.2277',1.4138,'1.0'
0.5178,-3.2005,1.0
-3.5588,1.0756,'1.0'
-3.2409,"'-0.5006""",1.0
'-3.1762',1.24,'1.0'
"""-2.444""",1.7578,1.0
-2.8525,-1.1219,1.0
1.8806,"'2.7762""",1.0
'1.4235','3.1228','1.0'
2.287,-2.7021,1.0
3.0773,-1.0836,1.0
-2.5362,2.5907,1.0
-0.4905,3.7421,'1.0'
"""-2.2872""",-2.9107,1.0
-2.5501,'1.6469',1.0
3.3889,0.5452,1.0
1.7208,2.5719,1.0
"""-0.6828""",-3.1446,1.0
-2.1054,'-3.2686',1.0
"'3.083""",0.53,1.0
0.6042,'3.3957','1.0'
0.4219,"""3.5312""",1.0
-1.7119,-3.2035,1.0
3.4768,0.4328,"'1.0"""
'2.3877','1.8308',1.0
1.0162,-3.1331,"""1.0"""
1.5043,'3.1225',1.0
-1.7666,"'-2.5219""",1.0
'0.246','3.3064','1.0'
"""2.4575""","""1.7723""",1.0
0.1317,3.0679,1.0
-0.582,-3.3064,1.0
1.9227,-2.4565,1.0
1.6956,-3.0742,1.0
'-2.8909',2.1796,1.0
-1.8315,"'-3.2385""",1.0
0.8875,3.0538,1.0
-0.8438,"""3.0357""",1.0
'2.4607',-1.8758,1.0
3.5609,0.2915,"'1.0"""
3.1236,'1.8608',1.0
"""0.792""",2.923,1.0
3.7893,0.6376,1.0
1.2723,2.7684,1.0
-3.0232,-1.738,'1.0'
"""-3.2037""",1.7241,1.0
2.9556,'-2.3627','1.0'
1.4978,-3.3205,"'1.0"""
-2.0299,3.1192,'1.0'
-0.1956,3.2997,"""1.0"""
-2.7165,2.5609,1.0
-2.5908,-1.6509,1.0
-0.431,3.7809,1.0
-2.483,-2.4566,1.0
-3.1466,2.0133,1.0
-3.2265,"'-1.0944""",1.0
-3.2948,1.3982,1.0
-0.9579,3.3391,"""1.0"""
3.4682,-1.1643,1.0
0.2624,-3.0622,1.0
1.9452,2.3548,1.0
2.1832,-2.3701,"""1.0"""
-3.1338,'0.248',1.0
"'2.9839""",-2.328,"'1.0"""
0.9853,-3.0417,1.0
"""-3.4579""",1.7561,1.0
3.2703,0.4648,1.0
"'-0.3704""",3.1421,"'1.0"""
-3.5845,-0.9597,1.0
"""-2.4016""",-2.6722,1.0
-0.1708,3.4441,1.0
"'2.2418""",2.6876,1.0
1.8552,-3.1402,1.0
3.1902,-0.3137,"""1.0"""
-3.846,-0.6263,'1.0'
1.832,3.4172,"'1.0"""
'-0.5009','3.5501',1.0
3.1584,0.3666,1.0
3.101,-1.8524,1.0
2.2637,2.0663,1.0
-2.6844,-1.4001,'1.0'
"""-0.4866""",3.1951,1.0
'-3.2203',-1.1406,'1.0'
"'-2.1953""",-3.079,1.0
1.7553,'-3.2053','1.0'
0.992,3.5318,"""1.0"""
'3.3749',0.2335,1.0
2.1602,2.5096,1.0
2.6974,'-1.9593',1.0
2.7306,-2.769,1.0
'-2.4849','-1.7444','1.0'
-3.0511,-2.2319,"'1.0"""
'-1.7915','-3.0309','1.0'
1.5341,"""3.0283""",1.0
3.1372,'-1.871',1.0
-2.9999,1.6795,"'1.0"""
-2.8105,2.5368,1.0
-3.7837,-0.4519,"""1.0"""
3.2335,0.9829,1.0
"'1.6313""",2.8099,1.0
-0.2654,-3.5231,1.0
3.3156,1.8994,"""1.0"""
'-2.5428','-1.9255',1.0
0.104,"'3.5591""",1.0
-2.7394,'2.2867',1.0
-0.881,"""3.5522""",1.0
'-1.9217','2.4559',1.0
-0.7043,-3.5755,1.0
-1.114,'3.652',1.0
-2.8905,-1.2812,1.0
-3.1775,'0.4818',1.0
-1.9999,"'-3.3182""",1.0
2.917,-1.2227,'1.0'
"""-0.4119""",-3.7464,"""1.0"""
'0.7523',3.3598,1.0
"'3.1609""",0.6274,1.0
-0.2913,3.7724,1.0
-2.8118,"""-1.9129""","""1.0"""
'3.2841',1.0997,1.0
-3.3224,"'0.0759""",1.0
'-2.8994','-2.0199','1.0'
-1.5892,2.7165,1.0
0.4392,-3.3231,1.0
3.0359,2.4041,1.0
2.8787,1.4699,1.0
-0.4906,-3.5574,1.0
-3.2913,0.0933,1.0
-1.3951,-3.4227,1.0
-2.86,1.2413,1.0
"""0.0875""",3.8718,"""1.0"""
'1.4338',-3.0922,1.0
0.9815,-3.0588,1.0
-1.0441,'-2.8829',1.0
-0.4373,3.1223,1.0
-2.9253,-1.8624,1.0
"'-2.1211""",2.5323,"'1.0"""
'3.1427',2.0385,1.0
2.9408,-1.682,1.0
2.1042,'2.4424',1.0
"'3.3831""",-1.0936,1.0
'-3.4289',1.21,1.0
"""1.2487""",2.8923,1.0
-3.0423,-0.82,1.0
"'2.1168""",-2.1722,"'1.0"""
-0.4082,'-3.6399','1.0'
"""1.2517""",-3.3726,"""1.0"""
-1.8584,-2.8795,1.0
-1.3339,-3.5152,1.0
2.1743,-3.0247,1.0
0.0074,3.5268,"""1.0"""
-3.7731,'0.2511','1.0'
"'0.5731""",3.1333,1.0
3.0914,'-0.24',1.0
"""3.0445""",-1.1165,"""1.0"""
'2.9582',0.7482,'1.0'
"'-0.9583""","'-3.3434""","'1.0"""
3.4268,-1.7393,1.0
"""1.2825""",2.7512,1.0
'-2.8308','-1.2877',1.0
"'2.9378""",-1.7253,1.0
3.7535,0.8129,1.0
"""-1.0655""",-3.1069,1.0
-1.0132,3.3047,'1.0'
2.7011,-1.3892,1.0
'3.0818',-0.5667,1.0
3.652,-1.3338,1.0
'-3.8179',0.624,1.0
"'1.9447""","'-2.2902""","'1.0"""
'2.1587',-3.1959,1.0
"""-1.5039""",3.2435,1.0
'1.799','-3.3258',1.0
3.3175,0.7856,1.0
'-2.8494',-1.9699,1.0
0.431,3.4129,1.0
2.6156,2.4738,1.0
2.7674,1.4531,1.0
'-1.0023',-2.8562,1.0
-1.7538,"""2.7684""",1.0
-0.5738,-3.5886,1.0
2.9172,1.2701,"'1.0"""
-1.4382,3.3069,'1.0'
-3.7543,-0.9512,"""1.0"""
0.7807,-2.9841,1.0
-1.5095,3.2741,1.0
-2.3902,-2.4171,'1.0'
2.8517,-2.4832,"""1.0"""
-2.3586,-2.1022,1.0
0.3872,3.6026,"'1.0"""
3.7103,0.5733,1.0
2.6374,"""-2.805""","""1.0"""
3.5827,0.4817,1.0
2.4331,-2.4423,1.0
'-3.4974','-0.643',1.0
"""3.5082""",-1.4128,1.0
1.0602,-3.3498,1.0
3.0271,-0.0393,"'1.0"""
-2.2697,'3.0948','1.0'
0.3903,-3.5995,"""1.0"""
'-2.9452',2.0857,'1.0'
"'-3.1686""","'0.4028""","'1.0"""
-2.5003,-2.5803,1.0
"""2.3522""",-2.3916,1.0
3.5682,-0.358,1.0
0.3547,-3.0755,1.0
-3.1232,1.7745,1.0
"""-3.433""","""1.8494""",1.0
'-0.2372',-3.0341,'1.0'
"'0.2733""",3.8698,1.0
2.5873,2.1534,1.0
-2.3119,"""2.9952""","""1.0"""
'-0.8588',3.6032,1.0
-1.007,3.3628,1.0
0.3768,'3.6452',1.0
"""3.6589""","""0.9909""",1.0
'3.3425',0.377,'1.0'
3.2845,"'-0.2539""",1.0
-3.2364,1.5786,1.0
-2.7853,2.4766,1.0
-1.5768,-3.3318,'1.0'
0.7367,"'3.6443""","'1.0"""
3.2258,-1.049,1.0
0.8458,"""-3.6391""",1.0
'2.6305',1.6557,1.0
"'-3.0324""",1.7276,1.0
2.1793,-2.0693,1.0
3.0956,-1.1204,"""1.0"""
-3.2602,0.6773,'1.0'
-2.5398,"'-2.1945""","'1.0"""
'1.8057',3.1443,'1.0'
3.3445,"""-0.1858""",1.0
0.3911,3.3813,1.0
3.008,-1.1316,"'1.0"""
-1.9668,'-2.6945',1.0
-2.4979,-2.0073,1.0
-3.0561,-0.2442,1.0
0.4293,3.517,1.0
1.6041,3.2244,1.0
0.6559,"""3.4965""","""1.0"""
1.3287,3.1482,1.0
0.6176,-3.2842,1.0
-2.2225,3.0539,'1.0'
"""3.2407""",1.2325,"""1.0"""
3.3668,'-0.6619','1.0'
2.2523,-2.0164,1.0
2.9722,'-1.4502',1.0
3.3405,"""-0.1069""","""1.0"""
1.5457,2.9822,1.0
-2.7998,"'2.137""",1.0
0.1801,'-3.4756',1.0
"""-1.1801""","""-3.345""","""1.0"""
2.0943,3.0361,1.0
1.4999,-3.417,"'1.0"""
'0.5831',3.5994,'1.0'
0.6321,3.8079,"""1.0"""
-2.9354,'-0.6945',1.0
-2.6499,-1.7511,"'1.0"""
-2.6341,'-1.45',1.0
3.0069,1.9479,1.0
2.7341,'-2.6509',1.0
-0.315,3.2037,1.0
2.6333,2.7871,1.0
2.3379,-1.9653,1.0
3.6928,'-1.0565',1.0
2.148,-2.5269,1.0
'1.1292',-2.8776,1.0
-1.9277,-2.8458,1.0
-3.0675,'-1.015',1.0
2.782,1.6925,1.0
'-2.7493',1.7825,1.0
-2.5939,"""2.6703""",1.0
-0.2135,3.4787,1.0
-0.5453,"'-3.2345""","'1.0"""
'-3.5481','0.092',1.0
3.1821,1.7767,1.0
0.6045,'3.1886','1.0'
-1.373,-3.08,1.0
2.7607,1.4314,'1.0'
"""1.8785""",-2.5448,1.0
'-3.6113',0.1102,1.0
-3.1398,0.3849,1.0
-2.9036,-1.9049,1.0
1.6452,"""-3.2449""",1.0
'-1.7852',2.5297,1.0
-1.5342,-3.1576,1.0
-2.9592,'-1.2968','1.0'
-0.4129,3.8445,1.0
2.4838,-2.373,'1.0'
"'1.0938""","'-3.5612""",1.0
'-1.9014',-2.9327,1.0
1.7953,-2.4521,"""1.0"""
2.3991,'-2.6435',1.0
-0.9974,-3.725,"'1.0"""
1.8412,-3.0252,1.0
-1.2112,-3.5356,1.0
-1.6131,-3.436,1.0
-2.3556,-2.1737,1.0
0.0545,-3.1904,1.0
1.9283,2.9805,"""1.0"""
'2.4692',-2.2934,'1.0'
2.6026,-2.708,1.0
3.7459,0.6962,1.0
1.5215,"""-2.9487""",1.0
2.2162,2.3266,1.0
-1.8871,"'3.1855""",1.0
-0.1324,-3.2446,'1.0'
1.9891,3.1676,"""1.0"""
1.4005,-3.0777,'1.0'
1.7769,"'-3.1319""",1.0
'-3.0826',-0.1447,1.0
3.5586,"""0.1429""","""1.0"""
-0.7856,'3.3148',1.0
-2.6179,"'-2.3649""",1.0
3.1292,'-0.3716',1.0
-2.477,-2.6987,1.0
-0.2325,'3.7694',1.0
-2.1279,-2.3834,1.0
-2.9893,'-0.7672','1.0'
6.1701,0.9232,-1.0
-4.0503,'-5.0213',-1.0
-5.4624,-4.3534,-1.0
-6.4826,-1.9586,'-1.0'
0.6822,"""5.9884""","""-1.0"""
-4.6953,3.8394,'-1.0'
"'-5.3581""",-3.6157,-1.0
-6.9078,0.1403,'-1.0'
"""6.5195""",-0.5013,"""-1.0"""
4.2528,4.9128,-1.0
"'-2.0629""","'-5.7464""","'-1.0"""
-5.4896,3.7652,-1.0
-6.1396,2.9744,-1.0
-1.29,'-6.2486',-1.0
-2.3976,-6.3372,-1.0
6.954,-0.3824,'-1.0'
"""4.2922""","""4.4793""",-1.0
5.1767,3.9693,'-1.0'
"'-1.0093""","'-6.2056""",-1.0
'-5.9855',-3.212,'-1.0'
-0.9947,6.5019,-1.0
5.8256,3.175,-1.0
"'5.8369""",3.4846,-1.0
5.0338,-3.9458,'-1.0'
2.47,6.4589,-1.0
-2.9062,'5.851',-1.0
0.9,6.0918,-1.0
-4.1038,5.2909,'-1.0'
"""6.1572""",2.8702,-1.0
-6.2715,-0.7547,'-1.0'
6.2477,2.8262,-1.0
2.1488,'-6.5633','-1.0'
"""0.6413""",6.2441,-1.0
-6.764,-1.7372,-1.0
4.4785,-4.2014,-1.0
-3.6177,'-5.0376',-1.0
-6.0521,-1.2715,-1.0
'-3.1041',6.1556,'-1.0'
-3.3151,5.7697,"'-1.0"""
-2.9812,-5.3815,-1.0
6.436,"""-0.2371""",-1.0
'-3.4799',-5.6261,'-1.0'
"'-5.6869""","'-2.1605""",-1.0
-0.8347,-6.8316,-1.0
"""-6.6417""",1.4756,-1.0
6.0462,'2.4001',-1.0
-6.4402,-2.658,"'-1.0"""
'6.1916',-1.6886,-1.0
3.1589,"""6.2289""",-1.0
'-2.4544',-6.1998,'-1.0'
2.0132,"'6.3219""",-1.0
-6.0104,-1.3763,-1.0
"""5.6508""",3.928,-1.0
'-6.1175',1.972,-1.0
0.2386,-6.1576,-1.0
-3.4595,'4.9177',-1.0
"""-3.3423""","""-5.6444""","""-1.0"""
1.8388,'-6.263',-1.0
"'6.0282""",-2.9683,-1.0
0.6639,6.8582,-1.0
-4.9029,3.5945,"""-1.0"""
3.8736,5.5053,'-1.0'
6.1805,-0.2921,-1.0
'6.1493',-3.0365,-1.0
"""-6.6053""","""-1.6941""",-1.0
3.575,-5.4774,-1.0
-6.6521,-0.8811,-1.0
-4.5044,-4.4251,-1.0
5.4828,3.4373,-1.0
0.2259,-6.8179,-1.0
"'4.4889""",4.6446,-1.0
'2.9243','-5.6454','-1.0'
"""1.2981""",-6.3632,-1.0
-1.7502,-6.6001,'-1.0'
"'6.1724""",1.427,-1.0
'-2.0228',5.833,-1.0
-0.5524,"""6.6892""",-1.0
-4.3555,5.2558,-1.0
"'5.1988""","'3.1922""",-1.0
5.7567,-2.4075,'-1.0'
"""-5.7944""",-2.037,-1.0
-2.17,5.9655,-1.0
"'-5.1456""",3.8897,-1.0
-6.3809,2.198,-1.0
-5.3663,-3.9295,"""-1.0"""
-6.5888,-0.6512,'-1.0'
5.5549,-3.0815,-1.0
-6.8402,0.1305,-1.0
6.4634,-0.3187,-1.0
4.1526,-5.6093,-1.0
"'1.7099""",6.41,-1.0
5.5529,'-2.5877',-1.0
4.9698,"""4.4579""",-1.0
2.601,-5.7655,-1.0
"'-4.892""","'4.558""","'-1.0"""
4.3713,-4.2109,-1.0
4.1717,"""-4.5526""",-1.0
2.3598,'-6.4368',-1.0
1.5498,-6.0312,"'-1.0"""
-2.303,6.4375,-1.0
5.485,"""3.0568""",-1.0
-5.4464,'3.8033',-1.0
3.0942,5.9361,-1.0
-2.208,-6.127,-1.0
-3.5801,5.1904,"""-1.0"""
'6.1398',-0.9483,-1.0
-3.8172,-4.6721,-1.0
2.7727,-5.6615,-1.0
4.4769,"""4.9216""",-1.0
4.49,-5.2897,-1.0
"'6.0777""",-3.2054,-1.0
-6.7437,0.5494,-1.0
"""-5.331""",-4.2028,-1.0
'0.6193','-6.6362','-1.0'
2.8478,5.5751,-1.0
-6.9063,-0.1114,-1.0
-5.3636,3.9662,-1.0
3.976,5.2183,'-1.0'
-4.1137,4.519,"'-1.0"""
'5.8646',2.6779,-1.0
6.3756,"""1.0432""",-1.0
4.5342,5.1539,-1.0
6.3716,-1.5037,"'-1.0"""
-6.0739,-1.9537,'-1.0'
6.8165,"""-1.4867""",-1.0
-5.5693,2.5147,-1.0
